ÜRÜN NO;DIÞ ÇAP;YÜKSEKLÝK
1;71,3260;5,8540
2;71,6320;5,8890
3;71,4850;5,8160
4;71,4650;5,8190
5;71,6300;5,8160
6;71,4380;5,8550
7;71,4330;5,8180
8;71,4690;5,9500
9;71,4900;5,8260
10;71,4840;5,8410
11;71,4610;5,8150
12;71,4060;5,8510
13;71,4250;5,8400
14;71,4930;5,8580
15;71,4470;5,8640
16;71,5010;5,8840
17;71,4140;5,8500
18;71,5340;5,8550
19;71,4510;5,8760
20;71,4880;5,8470
21;71,5280;5,8270
22;71,4800;5,8520
23;71,4940;5,8140
24;71,4540;5,8920
25;71,3650;5,8240
26;71,4710;5,8410
27;71,4570;5,8350
28;71,4880;5,9570
29;71,5340;5,8470
30;71,4020;5,8920
31;71,4630;5,8300
32;71,4850;5,8300
33;71,5240;5,8250
34;71,5080;5,8910
35;71,4390;5,8340
36;71,4670;5,8210
37;71,4250;5,8350
38;71,5190;5,8230
39;71,5710;5,8450
40;71,5220;5,8300
41;71,5180;5,8770
42;71,5070;5,8480
43;71,4480;5,8470
44;71,5450;5,8360
45;71,4840;5,8160
46;71,5120;5,8650
47;71,4930;5,8420
48;71,4340;5,8450
49;71,4450;5,8640
50;71,5090;5,8090
51;71,4780;5,8470
52;71,5270;5,9030
53;71,4650;5,8130
54;71,4610;5,8280
55;71,3030;5,8050
56;71,4610;5,8710
57;71,4270;5,8870
58;71,4690;5,8490
59;71,4250;5,8340
60;71,5050;5,8360
61;71,5690;5,9010
62;71,4620;5,8150
63;71,4200;5,8720
64;71,6040;5,8490
65;71,4190;5,9530
66;71,4540;5,9270
67;71,4000;5,8390
68;71,4390;5,8310
69;71,4390;5,7950
70;71,5250;5,8710
71;71,4910;5,8320
72;71,5060;5,8630
73;71,4660;5,8240
74;71,3700;5,8220
75;71,3920;5,8530
76;71,4520;5,8540
77;71,3670;5,8260
78;71,3840;5,8830
79;71,3170;5,7950
80;71,9040;5,8610
81;71,3970;5,8210
82;71,4970;5,8440
83;71,5090;5,8740
84;71,4290;5,8290
85;71,3960;5,8510
86;71,5500;5,9520
87;71,4460;5,8400
88;71,4210;5,8520
89;71,5800;5,8550
90;71,4940;5,8520
91;71,4460;5,8370
92;71,5110;5,8280
93;71,5820;5,8200
94;71,6100;5,8400
95;71,4850;5,8810
96;71,5780;5,8070
97;71,5300;5,8260
98;71,5040;5,8280
99;71,4560;5,8350
100;71,5240;5,8280
101;71,5280;5,8140
102;71,3760;5,8870
103;71,5150;5,8820
